Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,controller,wsp,_seed,_amp,Phase,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,3,-29.96,1014,0.184,1.1962890625,4.26,dlc11_4_ipcpi_a3_-29_14_1014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,3,29.96,1014,0.184,1.1962890625,4.26,dlc11_4_ipcpi_a3_+29_14_1014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,4,-29.96,1014,0.184,1.1962890625,5.68,dlc11_4_ipcpi_a4_-29_14_1014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,1,4,29.96,1014,0.184,1.1962890625,5.68,dlc11_4_ipcpi_a4_+29_14_1014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,1,-29.96,2014,0.184,1.1962890625,1.42,dlc11_4_ipcpi_a1_-29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,1,29.96,2014,0.184,1.1962890625,1.42,dlc11_4_ipcpi_a1_+29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,2,-29.96,2014,0.184,1.1962890625,2.84,dlc11_4_ipcpi_a2_-29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,2,29.96,2014,0.184,1.1962890625,2.84,dlc11_4_ipcpi_a2_+29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,3,-29.96,2014,0.184,1.1962890625,4.26,dlc11_4_ipcpi_a3_-29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,3,29.96,2014,0.184,1.1962890625,4.26,dlc11_4_ipcpi_a3_+29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,4,-29.96,2014,0.184,1.1962890625,5.68,dlc11_4_ipcpi_a4_-29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,2,4,29.96,2014,0.184,1.1962890625,5.68,dlc11_4_ipcpi_a4_+29_14_2014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,1,-29.96,3014,0.184,1.1962890625,1.42,dlc11_4_ipcpi_a1_-29_14_3014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,1,29.96,3014,0.184,1.1962890625,1.42,dlc11_4_ipcpi_a1_+29_14_3014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,2,-29.96,3014,0.184,1.1962890625,2.84,dlc11_4_ipcpi_a2_-29_14_3014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,2,29.96,3014,0.184,1.1962890625,2.84,dlc11_4_ipcpi_a2_+29_14_3014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,3,-29.96,3014,0.184,1.1962890625,4.26,dlc11_4_ipcpi_a3_-29_14_3014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,3,29.96,3014,0.184,1.1962890625,4.26,dlc11_4_ipcpi_a3_+29_14_3014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,4,-29.96,3014,0.184,1.1962890625,5.68,dlc11_4_ipcpi_a4_-29_14_3014
100,700,8192,./log/dlc11_4/,./res/dlc11_4/,-1,0,ipcpi,14,3,4,29.96,3014,0.184,1.1962890625,5.68,dlc11_4_ipcpi_a4_+29_14_3014
