Tstart,Tstop,Nx,logfolder,resfolder,Kp,yaw,Phase,controller,wsp,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,3,1,3024,0.15733333333333335,2.05078125,1.42,dlc11_3_ipcpi_a1_24_3024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,3,2,3024,0.15733333333333335,2.05078125,2.84,dlc11_3_ipcpi_a2_24_3024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,3,3,3024,0.15733333333333335,2.05078125,4.26,dlc11_3_ipcpi_a3_24_3024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,24,3,4,3024,0.15733333333333335,2.05078125,5.68,dlc11_3_ipcpi_a4_24_3024
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,1,1,1026,0.15446153846153846,2.2216796875,1.42,dlc11_3_ipcpi_a1_26_1026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,1,2,1026,0.15446153846153846,2.2216796875,2.84,dlc11_3_ipcpi_a2_26_1026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,1,3,1026,0.15446153846153846,2.2216796875,4.26,dlc11_3_ipcpi_a3_26_1026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,1,4,1026,0.15446153846153846,2.2216796875,5.68,dlc11_3_ipcpi_a4_26_1026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,2,1,2026,0.15446153846153846,2.2216796875,1.42,dlc11_3_ipcpi_a1_26_2026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,2,2,2026,0.15446153846153846,2.2216796875,2.84,dlc11_3_ipcpi_a2_26_2026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,2,3,2026,0.15446153846153846,2.2216796875,4.26,dlc11_3_ipcpi_a3_26_2026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,2,4,2026,0.15446153846153846,2.2216796875,5.68,dlc11_3_ipcpi_a4_26_2026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,3,1,3026,0.15446153846153846,2.2216796875,1.42,dlc11_3_ipcpi_a1_26_3026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,3,2,3026,0.15446153846153846,2.2216796875,2.84,dlc11_3_ipcpi_a2_26_3026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,3,3,3026,0.15446153846153846,2.2216796875,4.26,dlc11_3_ipcpi_a3_26_3026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipcpi,26,3,4,3026,0.15446153846153846,2.2216796875,5.68,dlc11_3_ipcpi_a4_26_3026
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,1,1,1004,0.344,0.341796875,1.12,dlc11_3_ipc04_a1_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,1,2,1004,0.344,0.341796875,2.24,dlc11_3_ipc04_a2_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,1,3,1004,0.344,0.341796875,3.3600000000000003,dlc11_3_ipc04_a3_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,1,4,1004,0.344,0.341796875,4.48,dlc11_3_ipc04_a4_04_1004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,2,1,2004,0.344,0.341796875,1.12,dlc11_3_ipc04_a1_04_2004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,2,2,2004,0.344,0.341796875,2.24,dlc11_3_ipc04_a2_04_2004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,2,3,2004,0.344,0.341796875,3.3600000000000003,dlc11_3_ipc04_a3_04_2004
100,700,8192,./log/dlc11_3/,./res/dlc11_3/,-1,0,0,ipc04,4,2,4,2004,0.344,0.341796875,4.48,dlc11_3_ipc04_a4_04_2004
