Tstart,Tstop,Nx,logfolder,resfolder,yaw,Phase,Kp,wsp,controller,_seed,_amp,seed,Tint,dx,Amplitude,filename
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc04,2,4,2014,0.184,1.1962890625,4.48,dlc15_2_ipc04_a4_14_2014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc04,3,1,3014,0.184,1.1962890625,1.12,dlc15_2_ipc04_a1_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc04,3,2,3014,0.184,1.1962890625,2.24,dlc15_2_ipc04_a2_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc04,3,3,3014,0.184,1.1962890625,3.3600000000000003,dlc15_2_ipc04_a3_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc04,3,4,3014,0.184,1.1962890625,4.48,dlc15_2_ipc04_a4_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,1,1,1014,0.184,1.1962890625,1.39,dlc15_2_ipc07_a1_14_1014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,1,2,1014,0.184,1.1962890625,2.78,dlc15_2_ipc07_a2_14_1014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,1,3,1014,0.184,1.1962890625,4.17,dlc15_2_ipc07_a3_14_1014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,1,4,1014,0.184,1.1962890625,5.56,dlc15_2_ipc07_a4_14_1014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,2,1,2014,0.184,1.1962890625,1.39,dlc15_2_ipc07_a1_14_2014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,2,2,2014,0.184,1.1962890625,2.78,dlc15_2_ipc07_a2_14_2014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,2,3,2014,0.184,1.1962890625,4.17,dlc15_2_ipc07_a3_14_2014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,2,4,2014,0.184,1.1962890625,5.56,dlc15_2_ipc07_a4_14_2014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,3,1,3014,0.184,1.1962890625,1.39,dlc15_2_ipc07_a1_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,3,2,3014,0.184,1.1962890625,2.78,dlc15_2_ipc07_a2_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,3,3,3014,0.184,1.1962890625,4.17,dlc15_2_ipc07_a3_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,14,ipc07,3,4,3014,0.184,1.1962890625,5.56,dlc15_2_ipc07_a4_14_3014
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,1,1,1016,0.17600000000000002,1.3671875,1.12,dlc15_2_ipc04_a1_16_1016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,1,2,1016,0.17600000000000002,1.3671875,2.24,dlc15_2_ipc04_a2_16_1016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,1,3,1016,0.17600000000000002,1.3671875,3.3600000000000003,dlc15_2_ipc04_a3_16_1016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,1,4,1016,0.17600000000000002,1.3671875,4.48,dlc15_2_ipc04_a4_16_1016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,2,1,2016,0.17600000000000002,1.3671875,1.12,dlc15_2_ipc04_a1_16_2016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,2,2,2016,0.17600000000000002,1.3671875,2.24,dlc15_2_ipc04_a2_16_2016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,2,3,2016,0.17600000000000002,1.3671875,3.3600000000000003,dlc15_2_ipc04_a3_16_2016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,2,4,2016,0.17600000000000002,1.3671875,4.48,dlc15_2_ipc04_a4_16_2016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,3,1,3016,0.17600000000000002,1.3671875,1.12,dlc15_2_ipc04_a1_16_3016
100,700,8192,./log/dlc15_2/,./res/dlc15_2/,0,0,-1,16,ipc04,3,2,3016,0.17600000000000002,1.3671875,2.24,dlc15_2_ipc04_a2_16_3016
